"date","close","open","high","low","volume","change"
"2024-2-11","278.71","247.78","283.06","246.71","468.56K","12.48%"
"2024-2-10","247.78","250.18","251.59","243.29","37.70K","-0.96%"
"2024-2-9","250.18","244.60","253.50","244.60","79.68K","2.28%"
"2024-2-8","244.60","240.60","245.00","240.31","48.57K","1.66%"
"2024-2-7","240.59","235.21","241.00","234.70","32.62K","2.29%"
"2024-2-6","235.21","235.79","237.90","234.40","57.22K","-0.25%"
"2024-2-5","235.79","235.28","237.99","234.12","39.88K","0.22%"
"2024-2-4","235.28","240.99","244.19","233.64","82.01K","-2.37%"
"2024-2-3","240.99","236.38","242.09","236.13","44.45K","1.95%"
"2024-2-2","236.38","236.69","237.99","234.62","25.09K","-0.13%"
"2024-2-1","236.69","234.30","237.39","230.51","44.78K","1.02%"
"2024-1-31","234.30","237.49","238.99","233.03","77.97K","-1.34%"
"2024-1-30","237.49","241.31","243.79","236.53","46.69K","-1.61%"
"2024-1-29","241.39","236.91","241.99","234.52","53.10K","1.89%"
"2024-1-28","236.91","243.78","245.77","235.09","46.71K","-2.82%"
"2024-1-27","243.78","241.80","244.71","239.21","50.05K","0.82%"
"2024-1-26","241.80","236.60","242.88","234.63","44.66K","2.20%"
"2024-1-25","236.60","236.30","238.17","234.51","52.72K","0.13%"
"2024-1-24","236.30","229.58","238.30","228.49","79.53K","2.92%"
"2024-1-23","229.58","235.58","237.78","219.18","129.18K","-2.55%"
"2024-1-22","235.58","236.84","241.17","231.11","156.02K","-0.57%"
"2024-1-21","236.92","239.09","242.90","236.68","39.25K","-0.91%"
"2024-1-20","239.09","236.78","240.00","235.02","31.43K","0.98%"
"2024-1-19","236.78","237.69","238.09","226.65","93.36K","-0.38%"
"2024-1-18","237.69","244.31","245.09","233.49","81.53K","-2.71%"
"2024-1-17","244.31","251.20","251.38","241.39","119.51K","-2.74%"
"2024-1-16","251.18","250.14","256.21","249.03","80.17K","0.42%"
"2024-1-15","250.14","245.82","257.67","245.29","82.17K","1.76%"
"2024-1-14","245.82","254.11","258.89","245.42","97.22K","-3.26%"
"2024-1-13","254.11","259.58","262.29","251.31","147.98K","-2.11%"
"2024-1-12","259.58","276.16","297.38","251.44","372.61K","-6.12%"
"2024-1-11","276.51","254.49","288.12","250.72","333.11K","8.65%"
"2024-1-10","254.49","244.81","259.90","234.36","145.39K","3.82%"
"2024-1-9","245.11","253.79","257.35","240.48","179.62K","-3.42%"
"2024-1-8","253.79","232.38","255.68","221.31","210.22K","9.22%"
"2024-1-7","232.37","236.09","239.81","229.81","70.33K","-1.58%"
"2024-1-6","236.09","239.30","243.34","231.06","82.28K","-1.35%"
"2024-1-5","239.32","239.68","241.08","230.03","114.82K","-0.15%"
"2024-1-4","239.68","233.99","239.99","232.55","88.31K","2.43%"
"2024-1-3","233.99","256.90","267.03","214.52","262.16K","-8.92%"
"2024-1-2","256.90","267.71","270.56","254.56","139.99K","-3.88%"
"2024-1-1","267.28","259.59","269.35","255.70","116.71K","2.96%"
"2023-12-31","259.59","270.49","272.09","254.14","144.37K","-4.03%"
"2023-12-30","270.49","254.11","287.27","254.02","366.37K","6.45%"
"2023-12-29","254.11","261.69","269.14","249.85","255.57K","-2.90%"
"2023-12-28","261.69","264.13","278.11","257.48","396.60K","-1.06%"
"2023-12-27","264.50","229.20","264.83","226.60","408.88K","15.40%"
"2023-12-26","229.20","234.80","235.08","221.18","128.36K","-2.38%"
"2023-12-25","234.80","228.88","237.47","228.10","70.65K","2.58%"
"2023-12-24","228.88","232.71","233.90","225.87","68.04K","-1.65%"
"2023-12-23","232.71","238.22","238.60","230.10","82.39K","-2.31%"
"2023-12-22","238.22","233.01","243.92","231.70","127.27K","2.24%"
"2023-12-21","233.02","229.52","234.47","228.62","43.79K","1.52%"
"2023-12-20","229.52","225.20","234.53","223.90","125.78K","1.92%"
