"date","close","open","high","low","volume","change"
"2024-2-11","25.7795","25.8903","26.3302","25.6376","893.28K","-0.43%"
"2024-2-10","25.8903","26.1425","26.4103","25.3803","717.62K","-0.96%"
"2024-2-9","26.1425","25.6094","26.6788","25.5595","1.80M","2.08%"
"2024-2-8","25.6094","25.1706","25.8486","25.0238","1.19M","1.71%"
"2024-2-7","25.1797","24.7301","25.3511","24.3114","1.09M","1.82%"
"2024-2-6","24.7301","24.3013","24.9601","24.1723","1.25M","1.76%"
"2024-2-5","24.3013","24.9995","25.1758","24.0434","1.77M","-2.79%"
"2024-2-4","24.9995","24.8597","25.6387","24.6610","2.01M","0.56%"
"2024-2-3","24.8597","25.1097","25.7083","24.5322","1.54M","-1.00%"
"2024-2-2","25.1097","24.4099","25.4162","24.3116","1.33M","2.87%"
"2024-2-1","24.4099","24.3317","24.9370","23.5611","1.96M","0.31%"
"2024-1-31","24.3349","25.3304","25.8349","24.1994","2.69M","-3.93%"
"2024-1-30","25.3304","24.7009","26.2298","24.5012","3.02M","2.55%"
"2024-1-29","24.7009","23.4989","24.8767","23.0715","1.66M","5.07%"
"2024-1-28","23.5084","24.0284","24.4398","23.3506","1.29M","-2.16%"
"2024-1-27","24.0284","23.9072","24.6030","23.7723","1.23M","0.51%"
"2024-1-26","23.9072","23.2507","24.1087","22.9106","1.67M","2.82%"
"2024-1-25","23.2507","22.9980","23.5232","22.2452","1.81M","1.10%"
"2024-1-24","22.9980","23.1210","23.4371","22.5606","1.31M","-0.52%"
"2024-1-23","23.1175","22.9299","23.8467","21.7513","2.19M","0.82%"
"2024-1-22","22.9299","24.5099","24.6303","22.8245","2.52M","-6.45%"
"2024-1-21","24.5099","24.7208","25.4273","24.4709","1.15M","-0.84%"
"2024-1-20","24.7174","25.3219","25.3308","24.1509","1.92M","-2.37%"
"2024-1-19","25.3178","24.4390","25.4502","22.9883","2.70M","3.60%"
"2024-1-18","24.4390","26.1990","26.1990","24.2094","2.54M","-6.72%"
"2024-1-17","26.1990","27.3077","27.4265","25.7416","1.56M","-4.06%"
"2024-1-16","27.3077","26.7395","27.7266","26.1723","2.29M","2.12%"
"2024-1-15","26.7395","26.4685","27.8010","26.1214","2.25M","1.02%"
"2024-1-14","26.4685","28.5806","28.7603","26.2466","2.28M","-7.39%"
"2024-1-13","28.5806","29.0056","29.9761","27.7640","3.03M","-1.46%"
"2024-1-12","29.0056","29.6135","32.3278","27.6907","7.96M","-2.05%"
"2024-1-11","29.6135","26.3341","32.1793","25.7468","13.70M","12.45%"
"2024-1-10","26.3341","21.2142","26.5720","20.4489","5.46M","24.34%"
"2024-1-9","21.1785","20.3193","21.2053","19.5652","2.46M","4.23%"
