DrawDate,Ball 1,Ball 2,Ball 3,Ball 4,Ball 5,Lucky Star 1,Lucky Star 2,UK Millionaire Maker,DrawNumber
06-Jun-2025,20,21,29,30,35,2,12,"VLWS75031",1848
03-Jun-2025,12,15,38,47,48,5,7,"HKVV08213",1847
30-May-2025,4,7,14,33,36,1,5,"MJTF42151",1846
27-May-2025,12,30,38,40,41,4,12,"XHSR16699",1845
23-May-2025,10,29,43,46,49,7,12,"MDQK77569",1844
20-May-2025,1,8,13,29,47,5,6,"TXNL48795",1843
16-May-2025,6,9,25,37,46,6,12,"ZDQK29611",1842
13-May-2025,9,19,44,47,50,2,9,"MCPZ71386",1841
09-May-2025,15,18,25,29,47,5,9,"ZBPQ30068",1840
06-May-2025,8,23,24,47,48,4,9,"MZNV58220",1839
02-May-2025,3,5,19,21,49,1,10,"HXNR64959,MWMQ34132,MXND70116,MXNN83635,TXNF71046,TXNJ86818,TXNK23029,XXNG99237,XXNR11682,ZXNJ16896",1838
29-Apr-2025,2,9,24,30,41,1,11,"ZWMS62356",1837
25-Apr-2025,13,22,32,39,41,1,12,"VVMJ17683",1836
22-Apr-2025,7,28,33,37,47,9,12,"MTMD30090",1835
18-Apr-2025,20,27,35,39,48,3,8,"ZRKZ79394",1834
15-Apr-2025,3,31,33,38,44,6,12,"MRLH58692",1833
11-Apr-2025,14,28,34,46,49,3,8,"XQKQ97029",1832
08-Apr-2025,3,14,15,48,49,1,7,"HPKS89737",1831
04-Apr-2025,27,39,41,45,50,5,7,"TNKB70417",1830
01-Apr-2025,9,24,30,46,49,4,12,"ZMJR93122",1829
28-Mar-2025,10,21,30,42,45,1,9,"HLHV99083",1828
25-Mar-2025,1,3,18,33,36,2,6,"MKHJ22564",1827
21-Mar-2025,9,17,18,21,50,5,12,"MJFW44014",1826
18-Mar-2025,4,9,35,46,50,8,11,"HHFG17793",1825
14-Mar-2025,8,10,33,35,49,2,9,"JGDK20551",1824
11-Mar-2025,13,36,37,42,47,7,11,"HFDH83622",1823
07-Mar-2025,6,10,27,32,48,3,8,"JCBN45959",1822
04-Mar-2025,15,20,29,35,42,2,9,"MCBT27736",1821
28-Feb-2025,7,16,31,43,46,5,9,"ZWZD80407",1820
25-Feb-2025,17,22,23,24,44,6,11,"HZBB98633",1819
21-Feb-2025,1,3,11,20,43,2,11,"XXZQ38966",1818
18-Feb-2025,5,14,25,26,40,5,7,"ZWZH28008",1817
14-Feb-2025,4,14,31,36,38,3,10,"HVXX35391,HVXZ64951,JTXJ35656,MTXD66106,MVXX07807,TTWX85392,TTXB49420,TVXL10345,TVXM66825,TVZC41873,VVXJ00395,VVXJ08441,XVXN25566,ZTXH30125",1816
11-Feb-2025,3,21,36,41,46,1,6,"HTXG00209",1815
07-Feb-2025,10,23,24,29,45,8,10,"ZSWQ19699",1814
04-Feb-2025,3,4,29,39,43,5,10,"XRWK86561",1813
31-Jan-2025,22,30,41,44,49,2,7,"MQVW10303",1812
28-Jan-2025,9,37,41,42,49,1,9,"TMTL79764",1811
24-Jan-2025,2,11,19,30,49,3,8,"JNTX26814",1810
21-Jan-2025,6,8,14,27,41,4,5,"TMTL77973",1809
17-Jan-2025,8,15,24,35,42,6,8,"VLTD60098",1808
14-Jan-2025,18,20,29,41,48,5,9,"MJSK01428",1807
10-Jan-2025,12,27,36,37,42,6,7,"HJSM76931",1806
07-Jan-2025,20,33,35,41,47,4,12,"JHRW37794",1805
03-Jan-2025,3,19,29,35,37,1,9,"XFQS49143",1804
31-Dec-2024,19,24,26,28,33,8,12,"HFRF28402,HFRJ66892,TFRC97755,TFRG50201,VFQT02512,VFQV55530,VFRC51328,XFQV66808,XFQZ09423,ZFRF80452",1803
27-Dec-2024,12,22,27,33,45,4,8,"XDQM36414",1802
24-Dec-2024,6,10,16,23,24,11,12,"MCQG92042",1801
20-Dec-2024,10,14,21,33,50,6,9,"MBPP66710",1800
17-Dec-2024,1,3,4,21,29,2,7,"HZPK28068",1799
13-Dec-2024,1,15,25,42,50,4,10,"JXNP81227",1798
10-Dec-2024,5,24,25,29,47,5,9,"XWNG16283",1797
