"date","close","open","high","low","volume","change"
"2024-2-11","108.464","109.031","110.625","107.774","3.93M","-0.52%"
"2024-2-10","109.032","106.935","110.858","106.914","5.03M","1.99%"
"2024-2-9","106.909","102.771","108.815","102.763","8.23M","4.04%"
"2024-2-8","102.760","101.059","104.912","100.562","7.17M","1.68%"
"2024-2-7","101.058","96.848","101.409","94.755","5.76M","4.34%"
"2024-2-6","96.850","95.626","97.858","93.314","5.53M","1.28%"
"2024-2-5","95.624","95.442","98.633","94.193","4.80M","0.20%"
"2024-2-4","95.435","97.940","98.528","95.106","3.54M","-2.56%"
"2024-2-3","97.940","100.546","101.165","96.709","3.64M","-2.59%"
"2024-2-2","100.542","97.803","102.495","97.452","6.94M","2.80%"
"2024-2-1","97.803","97.040","98.015","93.143","8.65M","0.78%"
"2024-1-31","97.043","101.373","102.581","96.090","10.67M","-4.28%"
"2024-1-30","101.377","101.617","106.318","101.033","8.76M","-0.23%"
"2024-1-29","101.613","95.982","101.880","95.103","7.24M","5.87%"
"2024-1-28","95.982","94.266","99.420","93.422","6.86M","1.89%"
"2024-1-27","94.201","92.272","94.481","90.720","3.54M","2.16%"
"2024-1-26","92.209","86.877","93.662","86.100","6.02M","6.13%"
"2024-1-25","86.880","88.771","89.585","85.173","5.12M","-2.13%"
"2024-1-24","88.769","84.296","89.305","83.315","7.35M","5.30%"
"2024-1-23","84.303","83.841","85.924","79.009","10.07M","0.57%"
"2024-1-22","83.829","91.053","91.867","82.350","8.67M","-7.94%"
"2024-1-21","91.055","92.756","93.892","90.830","2.41M","-1.83%"
"2024-1-20","92.756","93.649","94.230","90.268","3.32M","-0.96%"
"2024-1-19","93.655","94.354","95.309","87.055","7.77M","-0.74%"
"2024-1-18","94.352","102.078","103.424","91.679","7.74M","-7.56%"
"2024-1-17","102.070","97.598","102.691","96.884","8.70M","4.57%"
"2024-1-16","97.607","94.358","98.682","94.189","4.57M","3.40%"
"2024-1-15","94.398","93.900","96.870","93.166","4.49M","0.58%"
"2024-1-14","93.855","95.781","103.110","93.767","7.68M","-2.00%"
"2024-1-13","95.774","92.058","97.039","89.590","5.22M","4.06%"
"2024-1-12","92.039","99.862","100.427","87.660","7.95M","-7.83%"
"2024-1-11","99.862","102.050","107.040","97.780","11.41M","-2.12%"
"2024-1-10","102.024","99.370","105.323","92.350","10.77M","2.67%"
"2024-1-9","99.370","97.899","103.898","95.484","10.42M","1.54%"
"2024-1-8","97.860","89.347","99.910","85.331","12.28M","9.55%"
"2024-1-7","89.328","93.728","96.713","87.928","6.84M","-4.69%"
"2024-1-6","93.728","99.930","100.227","91.618","6.18M","-6.21%"
"2024-1-5","99.930","104.876","105.301","95.605","8.01M","-4.72%"
"2024-1-4","104.876","98.536","108.042","96.776","8.73M","6.43%"
"2024-1-3","98.536","106.720","109.887","86.141","15.16M","-7.67%"
"2024-1-2","106.720","109.728","116.920","106.052","9.66M","-2.65%"
"2024-1-1","109.628","101.590","109.668","101.558","5.57M","7.91%"
"2023-12-31","101.590","101.808","105.151","99.597","4.84M","-0.21%"
"2023-12-30","101.808","106.166","107.360","100.862","4.93M","-4.11%"
"2023-12-29","106.166","101.845","109.726","99.632","11.74M","4.24%"
"2023-12-28","101.845","106.766","109.442","97.302","12.92M","-4.62%"
"2023-12-27","106.782","112.603","115.232","105.099","11.25M","-5.17%"
"2023-12-26","112.603","120.761","121.291","103.265","15.42M","-6.76%"
"2023-12-25","120.761","112.514","125.506","108.164","13.74M","7.37%"
"2023-12-24","112.471","107.948","117.912","107.504","15.82M","4.19%"
"2023-12-23","107.948","97.964","109.638","92.869","10.51M","10.18%"
"2023-12-22","97.972","93.908","99.342","90.659","15.05M","4.31%"
"2023-12-21","93.920","82.164","95.465","81.187","15.31M","14.31%"
"2023-12-20","82.164","73.068","83.992","72.986","13.60M","12.43%"
"2023-12-19","73.078","74.418","76.352","71.833","7.64M","-1.77%"
"2023-12-18","74.394","70.799","75.380","67.130","9.17M","5.17%"
"2023-12-17","70.737","73.733","74.914","70.594","6.50M","-4.05%"
"2023-12-16","73.724","72.503","77.191","71.279","7.21M","1.62%"
"2023-12-15","72.545","75.686","79.454","72.214","11.17M","-4.15%"
"2023-12-14","75.686","70.596","76.186","69.682","9.45M","7.21%"
"2023-12-13","70.598","68.550","72.457","64.058","10.30M","2.99%"
"2023-12-12","68.550","70.297","72.388","65.962","9.92M","-2.48%"
"2023-12-11","70.297","74.871","74.919","65.783","15.88M","-5.96%"
"2023-12-10","74.750","72.317","74.839","70.734","7.65M","3.36%"
"2023-12-9","72.319","74.896","77.550","71.848","11.33M","-3.44%"
"2023-12-8","74.896","67.798","75.242","67.798","14.15M","10.48%"
"2023-12-7","67.791","61.898","69.322","61.677","13.53M","9.53%"
"2023-12-6","61.896","60.959","66.631","60.959","13.83M","1.54%"
"2023-12-5","60.959","61.575","62.548","59.153","7.72M","-1.00%"
"2023-12-4","61.572","62.988","65.243","60.081","10.40M","-2.25%"
"2023-12-3","62.988","63.795","65.419","62.329","6.52M","-1.28%"
"2023-12-2","63.807","59.756","63.898","59.674","6.29M","6.78%"
"2023-12-1","59.754","59.199","61.846","58.614","6.66M","0.94%"
"2023-11-30","59.199","59.292","61.646","58.858","5.67M","-0.16%"
"2023-11-29","59.294","58.184","61.706","57.766","9.66M","1.89%"
"2023-11-28","58.192","55.055","58.634","53.978","7.11M","5.69%"
"2023-11-27","55.060","57.559","58.040","53.590","6.16M","-4.34%"
"2023-11-26","57.559","58.809","59.007","56.260","4.24M","-2.13%"
"2023-11-25","58.809","56.870","59.715","55.895","5.31M","3.42%"
"2023-11-24","56.863","56.412","58.712","56.242","5.28M","0.80%"
"2023-11-23","56.412","57.538","59.506","56.192","6.23M","-1.86%"
"2023-11-22","57.482","51.691","58.825","51.650","9.83M","11.20%"
"2023-11-21","51.691","56.574","57.316","51.401","12.95M","-8.63%"
"2023-11-20","56.574","61.087","61.199","56.234","8.92M","-7.43%"
"2023-11-19","61.114","58.566","62.011","56.724","9.09M","4.38%"
"2023-11-18","58.552","58.497","59.313","54.856","9.19M","0.09%"
"2023-11-17","58.497","57.823","60.442","54.205","14.71M","1.18%"
"2023-11-16","57.815","65.527","68.076","56.552","18.33M","-11.81%"
"2023-11-15","65.555","56.820","67.030","56.234","16.38M","15.37%"
"2023-11-14","56.820","51.639","57.751","51.603","15.40M","9.98%"
"2023-11-13","51.662","56.350","59.800","51.635","14.45M","-8.32%"
"2023-11-12","56.350","56.375","61.823","54.617","13.54M","-0.01%"
"2023-11-11","56.354","56.677","63.576","53.636","18.65M","-0.57%"
"2023-11-10","56.677","45.305","57.442","45.095","19.27M","25.02%"
"2023-11-9","45.335","43.132","48.777","42.529","16.80M","5.12%"
"2023-11-8","43.127","42.946","43.866","42.295","6.00M","0.42%"
"2023-11-7","42.946","42.171","44.442","40.236","12.27M","1.80%"
"2023-11-6","42.187","41.157","42.190","39.687","7.07M","2.51%"
"2023-11-5","41.154","42.426","42.826","40.297","5.78M","-2.99%"
"2023-11-4","42.424","39.454","42.675","39.032","9.18M","7.53%"
"2023-11-3","39.452","40.246","40.250","38.072","12.86M","-1.97%"
"2023-11-2","40.246","41.113","44.501","38.762","18.19M","-2.11%"
"2023-11-1","41.113","38.401","46.479","37.926","25.10M","7.07%"
"2023-10-31","38.398","34.942","38.561","34.862","12.76M","9.89%"
"2023-10-30","34.942","32.830","35.199","32.385","9.62M","6.51%"
"2023-10-29","32.805","31.632","33.142","31.312","4.67M","3.71%"
"2023-10-28","31.632","31.724","32.500","31.413","3.13M","-0.29%"
"2023-10-27","31.724","32.780","33.305","31.456","7.87M","-3.22%"
"2023-10-26","32.780","32.448","33.242","30.777","9.53M","1.04%"
"2023-10-25","32.444","30.160","33.841","30.038","13.17M","7.57%"
"2023-10-24","30.160","31.922","32.552","29.592","13.77M","-5.52%"
"2023-10-23","31.922","29.051","32.709","28.770","15.07M","9.89%"
"2023-10-22","29.049","29.325","29.992","28.123","6.55M","-1.00%"
"2023-10-21","29.343","27.020","30.165","26.665","11.47M","8.60%"
"2023-10-20","27.020","24.927","27.350","24.732","9.71M","8.33%"
"2023-10-19","24.942","23.420","25.434","23.181","7.60M","6.51%"
"2023-10-18","23.417","23.934","24.360","23.380","3.99M","-2.16%"
"2023-10-17","23.934","23.954","24.520","23.579","5.52M","-0.08%"
"2023-10-16","23.952","21.914","24.583","21.900","8.67M","9.30%"
"2023-10-15","21.914","22.000","22.152","21.670","1.82M","-0.35%"
"2023-10-14","21.990","21.838","22.220","21.808","1.55M","0.69%"
"2023-10-13","21.840","21.299","22.175","21.120","2.97M","2.54%"
"2023-10-12","21.299","22.008","22.032","21.032","3.40M","-3.26%"
"2023-10-11","22.015","22.098","22.416","21.630","3.55M","-0.38%"
"2023-10-10","22.098","22.100","22.459","21.703","2.81M","0.01%"
"2023-10-9","22.097","23.222","23.370","21.782","4.87M","-4.85%"
"2023-10-8","23.224","23.301","23.613","23.101","2.21M","-0.34%"
"2023-10-7","23.303","23.701","23.824","23.091","3.43M","-0.77%"
"2023-10-6","23.483","22.670","23.731","22.670","5.05M","3.59%"
"2023-10-5","22.670","23.140","23.730","22.592","4.05M","-2.03%"
"2023-10-4","23.140","23.608","23.776","22.665","4.83M","-1.98%"
"2023-10-3","23.608","23.360","24.697","23.268","7.03M","1.06%"
"2023-10-2","23.360","23.887","24.671","22.930","8.00M","-2.19%"
"2023-10-1","23.883","21.364","24.433","21.138","7.77M","11.79%"
"2023-9-30","21.364","20.280","21.762","20.100","4.41M","5.34%"
"2023-9-29","20.280","19.960","20.424","19.853","3.29M","1.60%"
"2023-9-28","19.960","19.127","19.976","19.105","3.97M","4.35%"
"2023-9-27","19.127","19.026","19.460","18.762","3.39M","0.53%"
"2023-9-26","19.026","19.398","19.520","18.868","2.50M","-1.92%"
"2023-9-25","19.398","19.362","19.736","19.140","2.24M","0.20%"
"2023-9-24","19.358","19.488","19.654","19.278","1.33M","-0.66%"
"2023-9-23","19.488","19.428","19.563","19.290","1.17M","0.31%"
"2023-9-22","19.428","19.463","19.780","19.172","2.36M","-0.18%"
"2023-9-21","19.463","20.292","20.292","19.313","4.02M","-4.11%"
"2023-9-20","20.297","20.030","20.508","19.818","3.43M","1.33%"
"2023-9-19","20.030","19.650","20.362","19.582","3.76M","1.95%"
"2023-9-18","19.648","18.822","20.122","18.613","4.87M","4.39%"
"2023-9-17","18.822","19.130","19.132","18.682","1.31M","-1.61%"
"2023-9-16","19.130","19.143","19.421","18.885","1.83M","-0.05%"
"2023-9-15","19.140","18.852","19.433","18.567","2.91M","1.54%"
"2023-9-14","18.850","18.398","19.300","18.398","5.38M","2.46%"
"2023-9-13","18.398","17.912","18.520","17.708","5.12M","2.72%"
"2023-9-12","17.910","17.738","18.690","17.570","5.94M","0.98%"
"2023-9-11","17.736","18.238","18.438","17.396","6.02M","-2.71%"
"2023-9-10","18.230","19.432","19.440","17.850","6.86M","-6.19%"
"2023-9-9","19.432","19.608","19.610","19.385","846.26K","-0.91%"
"2023-9-8","19.610","19.904","20.270","19.395","2.43M","-1.48%"
"2023-9-7","19.904","19.640","19.990","19.340","2.92M","1.34%"
